鄉鎮市區,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,總價元,單價每平方公尺
北投區,97.06,3,2,19880000,204822
中山區,527.9,14,1,61000000,115552
內湖區,112.3,3,2,15000000,133571
中山區,39.12,1,1,6700000,171268
中山區,38.11,1,1,8660000,227237
松山區,67.39,2,2,13000000,192907
南港區,83.53,2,2,12250000,146654
信義區,119.5,3,2,21000000,175732
信義區,98.52,4,3,30000000,304507
中正區,107.84,3,2,21200000,196588
大同區,51.66,2,1,10100000,195509
